GRB,z,log_Tx,log_Fx,beta_prime,F_peak
060418,1.49,3.11887^{+0.05725}_{-0.05724},-9.79296\pm0.04904,1.98,49.9\pm1.63
060605,3.8,4.04162^{+0.03738}_{-0.03737},-11.2609^{+0.0531}_{-0.0532},1.835,4.73\pm0.693
060708,1.92,3.50569^{+0.06273}_{-0.06272},-10.8688^{+0.0611}_{-0.0612},2.485,6.89\pm0.796
060714,2.71,3.73449^{+0.04676}_{-0.04677},-10.8586\pm0.0352,1.87,9.13\pm0.549
060814,0.84,4.22387^{+0.03485}_{-0.03486},-10.9108\pm0.0353,1.97,60.6\pm1.48
060906,3.685,4.33479^{+0.07214}_{-0.07215},-11.8833^{+0.0885}_{-0.0884},2.06,12.2\pm1.18
061121,1.314,3.78753\pm0.01703,-10.0299^{+0.0126}_{-0.0127},1.9485,196\pm2.43
061222A,2.088,3.92091^{+0.02444}_{-0.02443},-9.95369\pm0.02311,1.86,73.3\pm1.51
070110,2.352,4.26825^{+0.05399}_{-0.05400},-11.0488^{+0.0547}_{-0.0548},2.186,4.73\pm0.648
070306,1.4959,4.86926\pm0.02824,-11.2737\pm0.0335,1.831,20.1\pm0.899
070508,0.82,3.02525\pm0.01189,-9.16118^{+0.01080}_{-0.01079},1.764,224\pm3.07
070521,0.553,3.55243\pm0.04844,-10.01250^{+0.04902}_{-0.04900},1.98,8.71\pm1.2
070529,2.4996,3.09323^{+0.06805}_{-0.06804},-10.2468\pm0.0552,1.76,11.1\pm1.84
080310,2.4266,4.326080559^{+0.037986760}_{-0.037986759},-11.39909559\pm0.04247343,1.878,7.52\pm0.893
080430,0.767,4.217629106^{+0.038388523}_{-0.038388522},-11.17223461^{+0.02818096}_{-0.02818097},4.18,18.2\pm0.808
080721,2.6,2.878762860^{+0.007554815}_{-0.007554816},-8.713485538^{+0.007019298}_{-0.007019299},1.735,193\pm10.3
081008,1.967,3.855508334\pm0.056285684,-10.79325557\pm0.06052989,1.84,10.5\pm0.813
081221,2.26,2.931957486\pm0.031176651,-9.354590372\pm0.024985500,1.991,147\pm2.46
090418A,1.608,3.528136567^{+0.030759021}_{-0.030759020},-10.04734554^{+0.02865941}_{-0.02865940},1.98,15.8\pm1.66
091018,0.971,2.896555345^{+0.034497877}_{-0.034497878},-9.626765539^{+0.024288604}_{-0.024288603},1.91,59.1\pm1.22
091020,1.71,2.952650108\pm0.045271255,-9.712875280\pm0.034480687,1.895,36.4\pm1.71
091029,2.752,4.303689975^{+0.034224003}_{-0.034224002},-11.34682089\pm0.02563352,2.064,10.9\pm0.786
100219A,4.7,4.721899099\pm0.103773463,-12.13530676^{+0.32639562}_{-0.32639563},1.46,3.15\pm0.721
110213A,1.46,3.84089^{+0.02576}_{-0.02127},-9.89698^{+0.03865}_{-0.03311},2.1905,7.15\pm1.88
110818A,3.36,3.846274153\pm0.059648416,-11.28292779\pm0.05514905,1.83,14.1\pm1.5
111008A,5,3.989933926\pm0.035676696,-10.66765993^{+0.02851108}_{-0.02851109},1.829,54.1\pm3.91
120118B,2.943,3.68307^{+0.15437}_{-0.10916},-10.9560^{+0.1224}_{-0.1120},2.01,13.8\pm1.32
120404A,2.88,3.79948^{+0.09188}_{-0.04469},-11.0269^{+0.0927}_{-0.1414},1.69,7.62\pm0.109
120811C,2.67,3.159095907^{+0.084200302}_{-0.084200301},-10.14322956\pm0.05294686,1.65,26\pm1.1
120922A,3.1,3.59799^{+0.21328}_{-0.05347},-10.5957^{+0.1158}_{-0.2115},2.17,10.6\pm0.757
121128A,2.2,3.233929220^{+0.029795567}_{-0.029795568},-9.618411717^{+0.028690024}_{-0.028690023},1.9455,104\pm2.1
131030A,1.29,2.84594^{+0.02758}_{-0.02757},-9.29414^{+0.02517}_{-0.02518},1.693,265\pm4.61
131105A,1.686,3.94880^{+0.04788}_{-0.04789},-10.9111^{+0.0333}_{-0.0334},1.94,26.8\pm0.204
140206A,2.7,3.59073^{+0.02132}_{-0.02133},-9.72980^{+0.01300}_{-0.01299},1.672,169\pm2.62
140419A,3.956,3.68383\pm0.02442,-10.00560^{+0.02397}_{-0.02400},1.678,41.8\pm1.28
140506A,0.889,3.30686\pm0.06882,-9.90438\pm0.05516,1.9,86.7\pm4.56
140509A,2.4,3.58709^{+0.11327}_{-0.06416},-11.0977^{+0.0897}_{-0.0782},1.86,11.8\pm1.77
140629A,2.3,2.85608\pm0.06161,-9.84891^{+0.04278}_{-0.04279},1.815,35\pm1.87
150314A,1.758,2.49217^{+0.01586}_{-0.01585},-8.60990^{+0.01503}_{-0.01502},1.73,381\pm6.06
150403A,2.06,3.19694^{+0.00698}_{-0.00697},-8.82118^{+0.00510}_{-0.00511},1.679,171\pm3.81
150910A,1.36,3.85419\pm0.02868,-9.97065^{+1.37578}_{-0.03215},1.6645,8.28\pm2.18
151027A,0.81,3.99907\pm0.01731,-9.93519\pm0.02221,1.9235,58.2\pm2.88
160121A,1.96,3.82440^{+0.12038}_{-0.12039},-11.1726\pm0.0694,2.02,7.79\pm0.823
160227A,2.38,4.47751\pm0.03885,-10.9957^{+0.0305}_{-0.0306},1.679,4.88\pm0.688
160327A,4.99,3.76407\pm0.06033,-11.2238\pm0.0673,1.78,12.5\pm0.877
170202A,3.645,3.77629^{+0.06866}_{-0.06865},-10.6535^{+0.0449}_{-0.0448},2.04,39.2\pm1.79
170705A,2.01,3.63746\pm0.06603,-10.1867^{+0.0406}_{-0.0405},1.66,113\pm2.41
180329B,1.998,4.02296\pm0.04314,-11.1493^{+0.0483}_{-0.0482},1.77,9.09\pm2.02
190106A,1.86,4.19124^{+0.03109}_{-0.03110},-10.4325^{+0.0285}_{-0.0286},2.9365,33.6\pm1.3
190114A,3.37,3.74534^{+0.04221}_{-0.04222},-10.7527^{+0.0336}_{-0.0337},1.86,4.12\pm0.953
